OBJECTID;PT_ORDER;DIST_PREV;BEAR_PREV;Z_DSM;POINT_X;POINT_Y
1;0;0;0;90.7019;39.04337865;51.51513583
2;1;8.057;182.4078;92.1677;39.04337377;51.51506347
3;2;7.8937;182.4078;91.8696;39.04336898;51.51499259
4;3;7.3579;182.4078;91.305;39.04336451;51.51492651
5;4;8.1674;182.4078;91.0918;39.04335956;51.51485317
6;5;9.0653;182.4078;92.2357;39.04335406;51.51477176
7;6;8.2916;182.4078;92.1541;39.04334902;51.5146973
8;7;7.0919;182.4078;90.475;39.04334472;51.51463362
9;8;8.4437;182.4078;92.0216;39.0433396;51.51455779
10;9;7.8009;182.4078;90.7671;39.04333486;51.51448774
11;10;8.097;182.4078;91.4135;39.04332995;51.51441503
12;11;7.9849;182.4078;90.4638;39.04332511;51.51434332
13;12;9.3332;182.4078;90.9783;39.04331944;51.51425951
14;13;8.0153;182.4078;90.2848;39.04331458;51.51418753
15;14;7.2369;182.4078;92.2578;39.04331019;51.51412254
16;15;8.365;182.4078;91.9053;39.04330511;51.51404742
17;16;8.488;182.4078;92.4048;39.04329996;51.5139712
18;17;8.2378;182.4078;90.3187;39.04329496;51.51389722
19;18;8.1541;182.4078;92.1182;39.04329002;51.513824
20;19;9.1153;182.4078;92.0573;39.04328449;51.51374214
21;20;8.4692;182.4078;91.1829;39.04327935;51.51366608
22;21;7.3065;182.4078;90.4901;39.04327491;51.51360047
23;22;8.0156;182.4078;92.3726;39.04327005;51.51352849
24;23;8.2914;182.4078;90.658;39.04326502;51.51345403
25;24;9.2695;182.4078;91.1541;39.0432594;51.51337079
26;25;7.9122;182.4078;90.8806;39.04325459;51.51329974
27;26;7.4556;182.4078;92.5426;39.04325007;51.51323279
28;27;9.2786;182.4079;92.6821;39.04324444;51.51314946
29;28;8.0976;182.4079;90.3845;39.04323953;51.51307675
30;29;8.6207;182.4079;90.3513;39.0432343;51.51299933
31;30;8.3766;182.4079;91.7806;39.04322921;51.51292411
32;31;9.4319;182.4079;90.5359;39.04322349;51.51283941
33;32;9.0879;182.4079;91.1083;39.04321798;51.5127578
34;33;9.324;182.4079;90.7213;39.04321232;51.51267407
35;34;8.8812;182.4079;91.0473;39.04320693;51.51259431
36;35;7.9697;182.4079;92.6999;39.04320209;51.51252274
37;36;9.1763;182.4079;91.1979;39.04319653;51.51244034
38;37;8.7745;182.4079;90.626;39.0431912;51.51236154
39;38;7.8201;182.4079;91.8927;39.04318646;51.51229132
40;39;8.3363;182.4079;91.8352;39.0431814;51.51221645
41;40;7.48;182.4079;90.4683;39.04317686;51.51214928
42;41;9.3247;182.4079;90.223;39.0431712;51.51206555
43;42;7.956;182.4079;90.072;39.04316638;51.5119941
44;43;7.6298;182.4079;89.9646;39.04316175;51.51192558
45;44;8.5657;182.4079;92.2552;39.04315655;51.51184866
46;45;7.7561;182.4079;91.0839;39.04315184;51.51177901
47;46;8.9266;182.4079;92.4959;39.04314643;51.51169885
48;47;9.1957;182.4079;90.1926;39.04314085;51.51161627
49;48;7.9487;182.4079;91.2369;39.04313602;51.51154489
50;49;8.3269;182.4079;91.0592;39.04313097;51.51147011
51;50;9.3814;182.4079;92.3965;39.04312528;51.51138587
52;51;8.517;182.408;92.0465;39.04312011;51.51130938
53;52;8.2659;182.408;92.1679;39.0431151;51.51123516
54;53;7.8765;182.408;92.0418;39.04311032;51.51116442
55;54;7.8154;182.408;90.4156;39.04310557;51.51109424
56;55;8.0397;182.408;91.9911;39.0431007;51.51102204
57;56;9.3778;182.408;92.4451;39.04309501;51.51093783
58;57;7.2486;182.408;91.3139;39.04309061;51.51087274
59;58;8.9216;182.408;90.8758;39.04308519;51.51079262
60;59;8.2107;182.408;90.6939;39.04308021;51.51071888
61;60;8.5147;182.408;91.0476;39.04307505;51.51064242
62;61;7.5941;182.408;90.6667;39.04307044;51.51057423
63;62;7.6467;182.408;91.3693;39.0430658;51.51050556
64;63;7.9483;182.408;92.6884;39.04306098;51.51043418
65;64;8.2319;182.408;89.9296;39.04305598;51.51036026
66;65;8.1482;182.408;92.7662;39.04305104;51.51028709
67;66;7.546;182.408;90.8438;39.04304646;51.51021932
68;67;8.5294;182.408;90.6667;39.04304128;51.51014273
69;68;7.129;182.408;90.338;39.04303696;51.51007871
70;69;9.0552;182.408;91.6068;39.04303146;51.50999739
71;70;9.2659;182.408;90.9424;39.04302584;51.50991418
72;71;7.1476;182.408;92.282;39.0430215;51.50984999
73;72;7.2258;182.408;90.4076;39.04301712;51.50978511
74;73;9.0953;182.408;90.4107;39.0430116;51.50970343
75;74;7.7367;182.408;90.6858;39.04300691;51.50963395
76;75;8.1273;182.408;90.3282;39.04300197;51.50956097
77;76;9.1368;182.408;90.9236;39.04299643;51.50947892
78;77;7.6635;182.4081;91.3976;39.04299178;51.5094101
79;78;7.5923;182.4081;91.2665;39.04298717;51.50934192
80;79;7.7293;182.4081;91.4601;39.04298248;51.50927251
81;80;7.4588;182.4081;92.1823;39.04297796;51.50920553
82;81;9.3776;182.4081;91.5971;39.04297227;51.50912132
83;82;9.2436;182.4081;90.3289;39.04296666;51.50903831
84;83;8.097;182.4081;92.7195;39.04296175;51.50896559
85;84;7.2805;182.4081;90.156;39.04295733;51.50890021
86;85;7.5016;198.8823;90.2767;39.04292228;51.50883644
87;86;7.8595;205.5223;91.9106;39.0428734;51.50877272
88;87;7.3653;205.5223;92.6383;39.04282759;51.50871301
89;88;6.4381;205.5224;90.5999;39.04278756;51.50866081
90;89;7.7259;205.5224;92.6133;39.04273951;51.50859818
91;90;6.9381;205.5224;90.557;39.04269636;51.50854193
92;91;7.2462;205.5224;92.3565;39.04265129;51.50848318
93;92;7.8631;205.5225;90.9117;39.04260239;51.50841944
94;93;7.5774;205.5225;90.8759;39.04255527;51.50835801
95;94;6.5893;205.5225;91.5711;39.04251429;51.50830459
96;95;6.2426;205.5226;91.6655;39.04247546;51.50825398
97;96;7.3676;205.5226;91.2045;39.04242964;51.50819425
98;97;8.2504;205.5226;91.7528;39.04237833;51.50812736
99;98;7.7838;205.5227;92.0826;39.04232992;51.50806426
100;99;8.1903;205.5227;91.2721;39.04227899;51.50799786
101;100;6.2857;205.5227;92.9222;39.0422399;51.5079469
102;101;7.9841;205.5227;90.4798;39.04219024;51.50788217
103;102;7.8028;205.5228;90.8662;39.04214171;51.50781891
104;103;6.9918;205.5228;91.6895;39.04209823;51.50776223
105;104;6.9735;205.5228;90.9501;39.04205486;51.5077057
106;105;7.653;205.5229;92.1219;39.04200727;51.50764365
107;106;6.5887;205.5229;91.8655;39.04196629;51.50759024
108;107;6.5569;205.5229;90.1132;39.04192551;51.50753708
109;108;6.9091;205.5229;91.0041;39.04188255;51.50748107
