OBJECTID;Id;Lon;Lat;Z_DSM;BEAR_PREV;DIST_PREV_m;Z_sampled;dZ;POINT_X;POINT_Y;POINT_Z
1;1;39.03473139;51.50968849;90.7019;0;0;91.3375;0.6356;39.03473139;51.50968849;0
2;2;39.03472651;51.50961613;92.1677;182.4078;8.057;91.3375;-0.8302;39.03472651;51.50961613;0
3;3;39.03472173;51.50954525;91.8696;182.4078;7.8937;91.7799;-0.0897;39.03472173;51.50954525;0
4;4;39.03471728;51.50947917;91.305;182.4078;7.3579;91.7799;0.4749;39.03471728;51.50947917;0
5;5;39.03471234;51.50940583;91.0918;182.4078;8.1674;91.7799;0.6881;39.03471234;51.50940583;0
6;6;39.03470685;51.50932442;92.2357;182.4078;9.0653;91.7799;-0.4558;39.03470685;51.50932442;0
7;7;39.03470184;51.50924996;92.1541;182.4078;8.2916;91.6915;-0.4626;39.03470184;51.50924996;0
8;8;39.03469754;51.50918627;90.475;182.4078;7.0919;91.6915;1.2165;39.03469754;51.50918627;0
9;9;39.03469243;51.50911044;92.0216;182.4078;8.4437;91.6915;-0.3301;39.03469243;51.50911044;0
10;10;39.03468771;51.50904039;90.7671;182.4078;7.8009;91.6915;0.9244;39.03468771;51.50904039;0
11;11;39.03468281;51.50896768;91.4135;182.4078;8.097;91.3912;-0.0223;39.03468281;51.50896768;0
12;12;39.03467798;51.50889597;90.4638;182.4078;7.9849;91.3912;0.9274;39.03467798;51.50889597;0
13;13;39.03467233;51.50881216;90.9783;182.4078;9.3332;91.3912;0.4129;39.03467233;51.50881216;0
14;14;39.03466748;51.50874018;90.2848;182.4078;8.0153;91.7235;1.4387;39.03466748;51.50874018;0
15;15;39.03466311;51.50867519;92.2578;182.4078;7.2369;91.7235;-0.5343;39.03466311;51.50867519;0
16;16;39.03465804;51.50860007;91.9053;182.4078;8.365;91.7235;-0.1818;39.03465804;51.50860007;0
17;17;39.03465291;51.50852385;92.4048;182.4078;8.488;91.7235;-0.6813;39.03465291;51.50852385;0
18;18;39.03464792;51.50844987;90.3187;182.4078;8.2378;91.4523;1.1336;39.03464792;51.50844987;0
19;19;39.03464299;51.50837665;92.1182;182.4078;8.1541;91.4523;-0.6659;39.03464299;51.50837665;0
20;20;39.03463747;51.50829479;92.0573;182.4078;9.1153;91.4523;-0.605;39.03463747;51.50829479;0
21;21;39.03463235;51.50821873;91.1829;182.4078;8.4692;91.4523;0.2694;39.03463235;51.50821873;0
22;22;39.03462793;51.50815312;90.4901;182.4078;7.3065;91.8741;1.384;39.03462793;51.50815312;0
23;23;39.03462308;51.50808114;92.3726;182.4078;8.0156;91.8741;-0.4985;39.03462308;51.50808114;0
24;24;39.03461806;51.50800668;90.658;182.4078;8.2914;91.8741;1.2161;39.03461806;51.50800668;0
25;25;39.03461245;51.50792344;91.1541;182.4078;9.2695;91.8741;0.72;39.03461245;51.50792344;0
26;26;39.03460766;51.50785239;90.8806;182.4078;7.9122;95.2356;4.355;39.03460766;51.50785239;0
27;27;39.03460315;51.50778543;92.5426;182.4078;7.4556;95.2356;2.693;39.03460315;51.50778543;0
28;28;39.03459754;51.50770211;92.6821;182.4079;9.2786;95.2356;2.5535;39.03459754;51.50770211;0
29;29;39.03459264;51.50762939;90.3845;182.4079;8.0976;96.0576;5.6731;39.03459264;51.50762939;0
30;30;39.03458742;51.50755198;90.3513;182.4079;8.6207;96.0576;5.7063;39.03458742;51.50755198;0
31;31;39.03458235;51.50747675;91.7806;182.4079;8.3766;96.0576;4.277;39.03458235;51.50747675;0
32;32;39.03457664;51.50739205;90.5359;182.4079;9.4319;96.0576;5.5217;39.03457664;51.50739205;0
33;33;39.03457114;51.50731044;91.1083;182.4079;9.0879;95.9953;4.887;39.03457114;51.50731044;0
34;34;39.0345655;51.50722671;90.7213;182.4079;9.324;95.9953;5.274;39.0345655;51.50722671;0
35;35;39.03456013;51.50714696;91.0473;182.4079;8.8812;95.9953;4.948;39.03456013;51.50714696;0
36;36;39.0345553;51.50707539;92.6999;182.4079;7.9697;95.5394;2.8395;39.0345553;51.50707539;0
37;37;39.03454975;51.50699298;91.1979;182.4079;9.1763;95.5394;4.3415;39.03454975;51.50699298;0
38;38;39.03454444;51.50691418;90.626;182.4079;8.7745;95.5394;4.9134;39.03454444;51.50691418;0
39;39;39.03453971;51.50684396;91.8927;182.4079;7.8201;95.5394;3.6467;39.03453971;51.50684396;0
40;40;39.03453467;51.5067691;91.8352;182.4079;8.3363;94.1048;2.2696;39.03453467;51.5067691;0
41;41;39.03453014;51.50670193;90.4683;182.4079;7.48;94.1048;3.6365;39.03453014;51.50670193;0
42;42;39.0345245;51.50661819;90.223;182.4079;9.3247;94.1048;3.8818;39.0345245;51.50661819;0
43;43;39.03451968;51.50654674;90.072;182.4079;7.956;94.1048;4.0328;39.03451968;51.50654674;0
44;44;39.03451507;51.50647822;89.9646;182.4079;7.6298;91.3019;1.3373;39.03451507;51.50647822;0
45;45;39.03450988;51.5064013;92.2552;182.4079;8.5657;91.3019;-0.9533;39.03450988;51.5064013;0
46;46;39.03450519;51.50633165;91.0839;182.4079;7.7561;91.3019;0.218;39.03450519;51.50633165;0
47;47;39.03449979;51.50625149;92.4959;182.4079;8.9266;91.3019;-1.194;39.03449979;51.50625149;0
48;48;39.03449422;51.50616891;90.1926;182.4079;9.1957;91.3879;1.1953;39.03449422;51.50616891;0
49;49;39.03448941;51.50609753;91.2369;182.4079;7.9487;91.3879;0.151;39.03448941;51.50609753;0
50;50;39.03448437;51.50602275;91.0592;182.4079;8.3269;91.3879;0.3287;39.03448437;51.50602275;0
51;51;39.0344787;51.50593851;92.3965;182.4079;9.3814;91.5566;-0.8399;39.0344787;51.50593851;0
52;52;39.03447354;51.50586202;92.0465;182.408;8.517;91.5566;-0.4899;39.03447354;51.50586202;0
53;53;39.03446854;51.50578779;92.1679;182.408;8.2659;91.5566;-0.6113;39.03446854;51.50578779;0
54;54;39.03446378;51.50571706;92.0418;182.408;7.8765;91.5566;-0.4852;39.03446378;51.50571706;0
55;55;39.03445905;51.50564688;90.4156;182.408;7.8154;91.3534;0.9378;39.03445905;51.50564688;0
56;56;39.03445418;51.50557468;91.9911;182.408;8.0397;91.3534;-0.6377;39.03445418;51.50557468;0
