Id;Lon;Lat;Z_DSM;Bearing;DistanceValue;DistanceUnit;Z_sampled;dZ
1;39.05349555;51.50820758;88.0501;215.6142;6.1083;m;90.1511;2.101
2;39.05344432;51.50816294;88.0501;215.6142;6.1083;m;89.9418;1.8917
3;39.05339309;51.50811831;88.0501;215.6142;6.1083;m;89.9418;1.8917
4;39.05334186;51.50807368;88.0501;215.6142;6.1083;m;89.9418;1.8917
5;39.05329062;51.50802904;88.0501;215.6142;6.1083;m;89.9418;1.8917
6;39.05323939;51.50798441;88.0501;215.6142;6.1083;m;89.9418;1.8917
7;39.05318816;51.50793978;88.0501;215.6142;6.1083;m;90.1925;2.1424
8;39.05313693;51.50789514;88.0501;215.6142;6.1083;m;90.111;2.0609
9;39.0530857;51.50785051;88.0501;215.6142;6.1083;m;90.111;2.0609
10;39.05303446;51.50780588;88.0501;215.6142;6.1083;m;90.111;2.0609
11;39.05298323;51.50776124;88.0501;215.6142;6.1083;m;90.111;2.0609
12;39.052932;51.50771661;88.0501;215.6142;6.1083;m;90.111;2.0609
13;39.05288077;51.50767198;88.0501;215.6142;6.1083;m;90.111;2.0609
14;39.05282954;51.50762734;88.0501;215.6142;6.1083;m;89.6675;1.6174
15;39.0527783;51.50758271;88.0501;215.6142;6.1083;m;89.6675;1.6174
16;39.05272707;51.50753808;88.0501;215.6142;6.1083;m;89.6675;1.6174
17;39.05267584;51.50749344;88.0501;215.6142;6.1083;m;89.6675;1.6174
18;39.05262461;51.50744881;88.0501;215.6142;6.1083;m;90.5981;2.548
19;39.05257337;51.50740418;88.0501;215.6142;6.1083;m;90.5981;2.548
20;39.05252214;51.50735954;88.0501;215.6142;6.1083;m;91.7363;3.6862
21;39.05247091;51.50731491;88.0501;215.6142;6.1083;m;91.7363;3.6862
22;39.05241968;51.50727028;88.0501;215.6142;6.1083;m;91.7363;3.6862
23;0;51.50730415;88.0501;215.6142;7.2164;m;;
24;0;51.50724643;88.0501;215.6143;6.8606;m;;
25;0;0;89.4267;215.6143;6.904;m;;
26;0;0;89.4267;215.6143;7.4982;m;;
27;0;0;89.4267;215.6144;6.8037;m;;
28;0;0;89.4267;215.6144;7.1724;m;;
29;0;0;89.4267;215.6144;6.9043;m;;
30;0;0;89.2712;215.6144;6.1424;m;;
31;0;0;89.2712;215.6145;6.5393;m;;
32;0;0;89.2712;215.6145;7.3913;m;;
33;0;0;89.2712;215.6145;7.3005;m;;
34;0;0;89.2712;215.6146;7.717;m;;
35;0;0;89.1093;215.6146;7.4883;m;;
36;0;0;89.1093;215.6146;6.9636;m;;
37;0;0;89.1093;215.6147;7.3316;m;;
38;0;0;89.1093;215.6147;6.9009;m;;
39;0;0;89.1093;215.6147;7.3143;m;;
40;0;0;89.1093;215.6148;7.5755;m;;
41;0;0;90.4921;215.6148;6.9315;m;;
42;0;0;90.4921;215.6148;6.7477;m;;
43;0;0;90.4921;215.6148;7.1291;m;;
44;0;0;86.1761;215.6149;7.5578;m;;
45;0;0;86.1761;215.6149;7.1128;m;;
46;0;0;88.4273;215.6149;7.3279;m;;
47;0;0;88.4273;215.615;7.4742;m;;
48;0;0;88.4273;215.615;7.2236;m;;
49;0;0;83.5;215.615;6.5937;m;;
50;0;0;83.5;215.6151;7.0187;m;;
51;0;0;85.7326;215.6151;7.1536;m;;
52;0;0;85.7326;215.6151;7.2607;m;;
53;0;0;85.7326;215.6152;7.7682;m;;
54;0;0;85.7326;215.6152;6.3234;m;;
55;0;0;85.7326;215.6152;6.4653;m;;
56;0;0;85.7326;215.6152;6.9962;m;;
57;0;0;87.8983;215.6153;6.7504;m;;
58;0;0;83.5;215.6153;7.8211;m;;
59;0;0;83.5;215.6153;6.9025;m;;
60;0;0;83.5;215.6154;7.3425;m;;
61;0;0;83.5;215.6154;6.2027;m;;
62;0;0;86.8385;215.6154;6.2113;m;;
63;0;0;83.5;215.6155;6.7002;m;;
64;0;0;83.5;215.6155;7.1306;m;;
65;0;0;83.5;215.6155;7.4252;m;;
66;0;0;83.5;215.6155;7.073;m;;
67;0;0;83.5;215.6156;6.7137;m;;
68;0;0;83.5;215.6156;7.3486;m;;
69;0;0;83.5;215.6156;7.7152;m;;
70;0;0;83.5;215.6157;6.2978;m;;
71;0;0;83.5;215.6157;6.7964;m;;
72;0;0;83.5;215.6157;6.437;m;;
73;0;0;83.5;215.6158;7.9545;m;;
74;0;0;83.5;215.6158;6.3057;m;;
75;0;0;83.5;215.6158;6.1804;m;;
76;0;0;83.5;215.6158;6.2236;m;;
77;0;0;83.5;215.6159;6.4138;m;;
78;0;0;83.5;215.6159;6.2248;m;;
79;0;0;83.5;215.6159;6.1671;m;;
80;0;0;83.5;215.616;7.3112;m;;
81;0;0;83.5;215.616;7.4967;m;;
82;0;0;83.5;215.616;7.4117;m;;
83;0;0;83.5;215.6161;7.623;m;;
84;0;0;83.5;215.6161;7.7836;m;;
85;0;0;83.5;215.6161;6.8004;m;;
86;0;0;83.5;215.6161;6.8976;m;;
87;0;0;83.5;215.6162;7.1521;m;;
88;0;0;83.5;215.6162;7.4245;m;;
89;0;0;83.5;215.6162;6.5772;m;;
90;0;0;83.5;215.6163;6.5497;m;;
91;0;0;83.5;215.6163;7.4738;m;;
92;0;0;83.5;215.6163;7.1088;m;;
93;0;0;83.5;215.6164;8.0898;m;;
94;0;0;83.5;215.6164;7.4329;m;;
95;0;0;83.5;215.6164;6.8265;m;;
96;0;0;83.5;215.6165;6.4104;m;;
97;0;0;83.5;215.6165;6.5822;m;;
98;0;0;83.5;215.6165;7.177;m;;
99;0;0;83.5;215.6165;7.1337;m;;
100;0;0;83.5;215.6166;7.8351;m;;
101;0;0;83.5;215.6166;6.3736;m;;
102;0;0;83.5;215.6166;7.9367;m;;
103;0;0;83.5;215.6167;6.705;m;;
104;0;0;83.5;215.6167;7.0814;m;;
105;0;0;83.5;215.6167;7.5861;m;;
106;0;0;83.5;215.6168;6.5344;m;;
107;0;0;83.5;215.6168;6.7199;m;;
108;0;0;83.5;215.6168;7.0147;m;;
109;0;0;83.5;215.6169;6.9086;m;;
110;0;0;83.5;215.6169;7.8748;m;;
111;0;0;83.5;215.6169;8.0742;m;;
112;0;0;83.5;215.617;6.5617;m;;
113;0;0;83.5;215.617;6.6749;m;;
114;0;0;83.5;215.617;6.5713;m;;
115;0;0;83.5;215.617;6.7684;m;;
116;0;0;83.5;215.6171;6.2686;m;;
